SectionSource;SectionTarget;Session;Source;Student;Target
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;c0e393f07353c9c01795e6fab9b8df17;Quiz;e410;Other
;1d7d5a6b311445069d3cfc4dd0821b98;f9125deaeb5a5c26c00d258b1c55b31e;Other;e258;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;20e01c0ef696960f52c09a79b42e630a;Signin;e258;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;fb3e939ba21340019f60609649411b72;20e01c0ef696960f52c09a79b42e630a;Quiz;e258;Other
;1d7d5a6b311445069d3cfc4dd0821b98;d136f2ab5212a8933847c42d54130f4f;Other;e258;Video
1d7d5a6b311445069d3cfc4dd0821b98;fb3e939ba21340019f60609649411b72;d136f2ab5212a8933847c42d54130f4f;Video;e258;Other
da4c98ec26234ffebf5213cb9bf4dad3;1d7d5a6b311445069d3cfc4dd0821b98;ad859fe4cdae41966f6723ea2d55500b;Other;e258;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;d136f2ab5212a8933847c42d54130f4f;Signin;e258;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;d136f2ab5212a8933847c42d54130f4f;Video;e258;Video
1d7d5a6b311445069d3cfc4dd0821b98;;d136f2ab5212a8933847c42d54130f4f;Video;e258;Other
;1d7d5a6b311445069d3cfc4dd0821b98;99167fc44ae2bbbe7a050e2d8a4aeec3;Other;e19;Video
1d7d5a6b311445069d3cfc4dd0821b98;;99167fc44ae2bbbe7a050e2d8a4aeec3;Video;e19;Other
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;5302ff2391483ae1ba3ef391823b3d97;Other;e19;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;5302ff2391483ae1ba3ef391823b3d97;Quiz;e19;Other
;1d7d5a6b311445069d3cfc4dd0821b98;b58fe3a9895a55e819d1fd5579b6b2f9;Other;e16;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;b58fe3a9895a55e819d1fd5579b6b2f9;Video;e16;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;b58fe3a9895a55e819d1fd5579b6b2f9;Video;e16;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;7d4661e1ce38723a12409c863ca510ea;Signin;e16;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;7d4661e1ce38723a12409c863ca510ea;Video;e16;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;7d4661e1ce38723a12409c863ca510ea;Video;e16;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;7d4661e1ce38723a12409c863ca510ea;Video;e16;Video
1d7d5a6b311445069d3cfc4dd0821b98;;7d4661e1ce38723a12409c863ca510ea;Video;e16;Other
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;c6eef515ff40837fbf2bc43007e1acbd;Other;e16;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;c6eef515ff40837fbf2bc43007e1acbd;Quiz;e16;Other
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;a18b7c44e93db8bac47e2bb6e6c43f15;Other;e382;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;a18b7c44e93db8bac47e2bb6e6c43f15;Video;e382;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;a18b7c44e93db8bac47e2bb6e6c43f15;Video;e382;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;d40479854eb4428dbe29249149ba8f84;Signin;e382;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;d40479854eb4428dbe29249149ba8f84;Quiz;e382;Other
df13b37d70964faf88cfb44b7a36ac55;1d7d5a6b311445069d3cfc4dd0821b98;d87ac781ff97e90f4ddd60cbc3f72a78;Other;e383;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;c2f1588083b343fe324e0070bc4ef3da;Signin;e383;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;c2f1588083b343fe324e0070bc4ef3da;Video;e383;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;c2f1588083b343fe324e0070bc4ef3da;Quiz;e383;Other
;1d7d5a6b311445069d3cfc4dd0821b98;fb69713ca04aeb7caa761bbb8befaa45;Other;e384;Video
1d7d5a6b311445069d3cfc4dd0821b98;;fb69713ca04aeb7caa761bbb8befaa45;Video;e384;Other
;1d7d5a6b311445069d3cfc4dd0821b98;fb69713ca04aeb7caa761bbb8befaa45;Other;e384;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;fb69713ca04aeb7caa761bbb8befaa45;Quiz;e384;Other
d2f700a5bb0e49c187a940ddd4e19590;1d7d5a6b311445069d3cfc4dd0821b98;13e5a9777e8341def940a0c8df4ba2b9;Other;e385;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;b7e6028bf2e3287ac3066695439b371e;Signin;e385;Quiz
