SectionSource;SectionTarget;Session;Source;Student;Target
d2f700a5bb0e49c187a940ddd4e19590;3136d5e86b6a4345a1a8081d155f8131;ee4570f6b6429af91ec0a716a0be0a39;Other;e382;Quiz
3136d5e86b6a4345a1a8081d155f8131;df13b37d70964faf88cfb44b7a36ac55;ee4570f6b6429af91ec0a716a0be0a39;Quiz;e382;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;19c38391a039290c3b2e44dcb014eb3b;Other;e383;Quiz
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;56c2d58823c21d1d663d102115e0fb4d;Other;e384;Quiz
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;9970988617f37590e67ea85d6f5303da;Other;e385;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;9970988617f37590e67ea85d6f5303da;Quiz;e385;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;443f973cb0e7b7e702863328fa932ab5;Other;e386;Quiz
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;039f15d180ed1d717ebcdf391b3ef412;Other;e388;Signout
3136d5e86b6a4345a1a8081d155f8131;3136d5e86b6a4345a1a8081d155f8131;87c7908d4c78092228676e926eb1e0e6;Signin;e388;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;87c7908d4c78092228676e926eb1e0e6;Quiz;e388;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;4e69c6c1993b5b344cf6d3aee1452a1a;Other;e221;Quiz
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;0e204b2bef382376e557411c4887a77f;Other;e242;Signout
3136d5e86b6a4345a1a8081d155f8131;3136d5e86b6a4345a1a8081d155f8131;f5d4af44b60df197e5f36cda8a4abfe3;Signin;e242;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;f5d4af44b60df197e5f36cda8a4abfe3;Quiz;e242;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;928807e3837dd6b0e8227d1cbe45bc65;Other;e233;Signout
3136d5e86b6a4345a1a8081d155f8131;3136d5e86b6a4345a1a8081d155f8131;63d197bbb8817207c1ed9cf255596b65;Signin;e233;Quiz
3136d5e86b6a4345a1a8081d155f8131;1d7d5a6b311445069d3cfc4dd0821b98;63d197bbb8817207c1ed9cf255596b65;Quiz;e233;Other
1d7d5a6b311445069d3cfc4dd0821b98;3136d5e86b6a4345a1a8081d155f8131;4bfc81914333eef4c9278e5883402abd;Other;e78;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;4bfc81914333eef4c9278e5883402abd;Quiz;e78;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;ff1401c405a0e7cdf5e723a41d32bf74;Other;e182;Signout
3136d5e86b6a4345a1a8081d155f8131;3136d5e86b6a4345a1a8081d155f8131;64f033e7028dcccf736d2bac315d4624;Signin;e182;Quiz
3136d5e86b6a4345a1a8081d155f8131;fb3e939ba21340019f60609649411b72;64f033e7028dcccf736d2bac315d4624;Quiz;e182;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;f4117b64241825aae5f904b19e5f9291;Other;e4;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;defe66ad155507faaa08967b6549a158;Quiz;e4;Other
