SectionSource;SectionTarget;Session;Source;Student;Target
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;cd6a8d5f63f8a1101c0c648ada3b790a;Video;e19;Quiz
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;cd6a8d5f63f8a1101c0c648ada3b790a;Quiz;e19;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;cd6a8d5f63f8a1101c0c648ada3b790a;Video;e19;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;cd6a8d5f63f8a1101c0c648ada3b790a;Video;e19;Quiz
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;cd6a8d5f63f8a1101c0c648ada3b790a;Quiz;e19;Video
5b849ceb504146e9b2e8a9261f6e1537;;cd6a8d5f63f8a1101c0c648ada3b790a;Video;e19;Other
;5b849ceb504146e9b2e8a9261f6e1537;cd6a8d5f63f8a1101c0c648ada3b790a;Other;e19;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;99167fc44ae2bbbe7a050e2d8a4aeec3;Signin;e19;Quiz
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;99167fc44ae2bbbe7a050e2d8a4aeec3;Quiz;e19;Video
5b849ceb504146e9b2e8a9261f6e1537;;99167fc44ae2bbbe7a050e2d8a4aeec3;Video;e19;Other
;5b849ceb504146e9b2e8a9261f6e1537;99167fc44ae2bbbe7a050e2d8a4aeec3;Other;e19;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;5302ff2391483ae1ba3ef391823b3d97;Signin;e19;Quiz
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;5302ff2391483ae1ba3ef391823b3d97;Quiz;e19;Other
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;b58fe3a9895a55e819d1fd5579b6b2f9;Video;e16;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;b58fe3a9895a55e819d1fd5579b6b2f9;Video;e16;Quiz
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;b58fe3a9895a55e819d1fd5579b6b2f9;Quiz;e16;Quiz
5b849ceb504146e9b2e8a9261f6e1537;;b58fe3a9895a55e819d1fd5579b6b2f9;Quiz;e16;Other
;5b849ceb504146e9b2e8a9261f6e1537;e01d31192c3610bb7ca9208f9de5a038;Other;e16;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;c6eef515ff40837fbf2bc43007e1acbd;Signin;e16;Quiz
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;c6eef515ff40837fbf2bc43007e1acbd;Quiz;e16;Other
;5b849ceb504146e9b2e8a9261f6e1537;a18b7c44e93db8bac47e2bb6e6c43f15;Other;e382;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;a18b7c44e93db8bac47e2bb6e6c43f15;Video;e382;Quiz
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;a18b7c44e93db8bac47e2bb6e6c43f15;Quiz;e382;Video
