SectionSource;SectionTarget;Session;Source;Student;Target
fb3e939ba21340019f60609649411b72;d2f700a5bb0e49c187a940ddd4e19590;c666d73204d960ecffe65294cfcaa363;Other;e312;Signout
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;d4dd3897280e52a290bb29dfd1ddd338;Signin;e312;Video
d2f700a5bb0e49c187a940ddd4e19590;;d4dd3897280e52a290bb29dfd1ddd338;Video;e312;Other
;d2f700a5bb0e49c187a940ddd4e19590;d4dd3897280e52a290bb29dfd1ddd338;Other;e312;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;d4dd3897280e52a290bb29dfd1ddd338;Video;e312;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;d4dd3897280e52a290bb29dfd1ddd338;Video;e312;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;d4dd3897280e52a290bb29dfd1ddd338;Video;e312;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;d4dd3897280e52a290bb29dfd1ddd338;Video;e312;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;cf3fa46d31dec27065a5d92b71d213e4;Video;e258;Quiz
d2f700a5bb0e49c187a940ddd4e19590;df13b37d70964faf88cfb44b7a36ac55;cf3fa46d31dec27065a5d92b71d213e4;Quiz;e258;Other
da4c98ec26234ffebf5213cb9bf4dad3;d2f700a5bb0e49c187a940ddd4e19590;7e4916979d1a38c4e9e4c044366e1d58;Other;e16;Signout
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;03af553c01faf60249b65807a4fe9cee;Signin;e16;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;03af553c01faf60249b65807a4fe9cee;Video;e16;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;03af553c01faf60249b65807a4fe9cee;Video;e16;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;624e1d9ac2d1e91e42b4508556d11412;Video;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;624e1d9ac2d1e91e42b4508556d11412;Video;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;624e1d9ac2d1e91e42b4508556d11412;Video;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;624e1d9ac2d1e91e42b4508556d11412;Video;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;624e1d9ac2d1e91e42b4508556d11412;Video;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;;624e1d9ac2d1e91e42b4508556d11412;Video;e382;Other
df13b37d70964faf88cfb44b7a36ac55;d2f700a5bb0e49c187a940ddd4e19590;ee4570f6b6429af91ec0a716a0be0a39;Other;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;ee4570f6b6429af91ec0a716a0be0a39;Video;e382;Video
d2f700a5bb0e49c187a940ddd4e19590;3136d5e86b6a4345a1a8081d155f8131;ee4570f6b6429af91ec0a716a0be0a39;Video;e382;Other
d2f700a5bb0e49c187a940ddd4e19590;df13b37d70964faf88cfb44b7a36ac55;8907f72a897c4a49f076b1b991bba42b;Quiz;e383;Other
d2f700a5bb0e49c187a940ddd4e19590;5b849ceb504146e9b2e8a9261f6e1537;e9fc976f3ae037c9b357f5e6cbd089ce;Quiz;e384;Other
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;13e5a9777e8341def940a0c8df4ba2b9;Video;e385;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;13e5a9777e8341def940a0c8df4ba2b9;Video;e385;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;13e5a9777e8341def940a0c8df4ba2b9;Video;e385;Quiz
d2f700a5bb0e49c187a940ddd4e19590;1d7d5a6b311445069d3cfc4dd0821b98;13e5a9777e8341def940a0c8df4ba2b9;Quiz;e385;Other
da4c98ec26234ffebf5213cb9bf4dad3;d2f700a5bb0e49c187a940ddd4e19590;64b736ec1ade25c067265fe47b093bf1;Other;e385;Signout
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;13e5a9777e8341def940a0c8df4ba2b9;Signin;e385;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;13e5a9777e8341def940a0c8df4ba2b9;Video;e385;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;13e5a9777e8341def940a0c8df4ba2b9;Video;e385;Video
d2f700a5bb0e49c187a940ddd4e19590;df13b37d70964faf88cfb44b7a36ac55;13e5a9777e8341def940a0c8df4ba2b9;Video;e385;Other
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;9970988617f37590e67ea85d6f5303da;Other;e385;Signout
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;a777f50443a829fedba66d6608a17c93;Signin;e385;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
d2f700a5bb0e49c187a940ddd4e19590;d2f700a5bb0e49c187a940ddd4e19590;4b3d8ed212f907366991118847d93dd6;Video;e386;Video
