SectionSource;SectionTarget;Session;Source;Student;Target
fb3e939ba21340019f60609649411b72;da4c98ec26234ffebf5213cb9bf4dad3;26d1afe10fb63f7b0711962297fae98d;Other;e258;Signout
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Signin;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;ad859fe4cdae41966f6723ea2d55500b;Video;e258;Quiz
da4c98ec26234ffebf5213cb9bf4dad3;1d7d5a6b311445069d3cfc4dd0821b98;ad859fe4cdae41966f6723ea2d55500b;Quiz;e258;Other
fb3e939ba21340019f60609649411b72;da4c98ec26234ffebf5213cb9bf4dad3;83ae49471972785bc90f283a4611a4ac;Other;e19;Signout
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Signin;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
da4c98ec26234ffebf5213cb9bf4dad3;da4c98ec26234ffebf5213cb9bf4dad3;2c43697b7d5b4c6a88c6c43fc12a0c2f;Video;e19;Video
