SectionSource;SectionTarget;Session;Source;Student;Target
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;c666d73204d960ecffe65294cfcaa363;Video;e312;Video
fb3e939ba21340019f60609649411b72;d2f700a5bb0e49c187a940ddd4e19590;c666d73204d960ecffe65294cfcaa363;Video;e312;Other
1d7d5a6b311445069d3cfc4dd0821b98;fb3e939ba21340019f60609649411b72;20e01c0ef696960f52c09a79b42e630a;Other;e258;Signout
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Signin;e258;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Video;e258;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Video;e258;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Video;e258;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Video;e258;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Video;e258;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;398cbba7546385dd0debadb036861cd0;Video;e258;Video
fb3e939ba21340019f60609649411b72;df13b37d70964faf88cfb44b7a36ac55;398cbba7546385dd0debadb036861cd0;Video;e258;Other
1d7d5a6b311445069d3cfc4dd0821b98;fb3e939ba21340019f60609649411b72;d136f2ab5212a8933847c42d54130f4f;Other;e258;Signout
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;26d1afe10fb63f7b0711962297fae98d;Signin;e258;Quiz
fb3e939ba21340019f60609649411b72;da4c98ec26234ffebf5213cb9bf4dad3;26d1afe10fb63f7b0711962297fae98d;Quiz;e258;Other
df13b37d70964faf88cfb44b7a36ac55;fb3e939ba21340019f60609649411b72;e1bbb044ba5d31b4a12a98191b4fb4fe;Other;e19;Signout
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;967650359c2a9c9885720477ceb28c00;Signin;e19;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;967650359c2a9c9885720477ceb28c00;Video;e19;Signout
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;17ce2758f280389dc3d70fbef8852da8;Signin;e19;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;17ce2758f280389dc3d70fbef8852da8;Video;e19;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;17ce2758f280389dc3d70fbef8852da8;Video;e19;Signout
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;83ae49471972785bc90f283a4611a4ac;Signin;e19;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;83ae49471972785bc90f283a4611a4ac;Video;e19;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;83ae49471972785bc90f283a4611a4ac;Video;e19;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;83ae49471972785bc90f283a4611a4ac;Video;e19;Quiz
fb3e939ba21340019f60609649411b72;da4c98ec26234ffebf5213cb9bf4dad3;83ae49471972785bc90f283a4611a4ac;Quiz;e19;Other
df13b37d70964faf88cfb44b7a36ac55;fb3e939ba21340019f60609649411b72;e01d31192c3610bb7ca9208f9de5a038;Other;e16;Signout
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Signin;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Video
fb3e939ba21340019f60609649411b72;fb3e939ba21340019f60609649411b72;86ddc95d543ce6251c304f1b961767de;Video;e16;Quiz
